Industry,Year,Date Joined,Valuation ($B)
Fintech,2022,2/24/22,1
Fintech,2022,3/14/22,2.1
Fintech,2022,3/16/22,1
Fintech,2022,3/21/22,1
Fintech,2022,3/22/22,1.6
Fintech,2022,4/15/22,2.5
Fintech,2022,4/20/22,1
Fintech,2022,4/26/22,1.05
Fintech,2022,4/28/22,1
Fintech,2022,5/4/22,1.5
Fintech,2022,5/17/22,1.2
Fintech,2022,5/22/22,1
Fintech,2022,5/23/22,1.1
Fintech,2022,5/25/22,3.2
Fintech,2022,6/1/22,2.1
Fintech,2022,6/21/22,1.6
Fintech,2022,7/3/22,4.8
Fintech,2022,7/6/22,1.5
Fintech,2022,7/13/22,1.4
Fintech,2022,7/15/22,1.2
Fintech,2022,8/2/22,3.25
Fintech,2022,9/3/22,1.9
Fintech,2022,9/5/22,2.4
Fintech,2022,9/6/22,2.66
Fintech,2022,10/3/22,1.94
Fintech,2022,10/5/22,10
Fintech,2022,11/1/22,7.4
Fintech,2022,11/2/22,3
Fintech,2022,11/5/22,1
Fintech,2022,12/4/22,2.2
Fintech,2022,12/5/22,1.5
Hardware,2014,10/21/14,2
Hardware,2015,1/23/15,15
Hardware,2015,4/29/15,1.6
Hardware,2015,8/18/15,6
Hardware,2015,8/20/15,2.4
Hardware,2016,7/25/16,4.58
Hardware,2016,12/22/16,11.1
Hardware,2018,1/8/18,2
Hardware,2018,3/16/18,1.45
Hardware,2018,6/7/18,12
Hardware,2018,6/11/18,1
Hardware,2018,10/25/18,1
Hardware,2018,11/6/18,1
Hardware,2018,11/14/18,4
Hardware,2018,11/21/18,1
Hardware,2020,8/18/20,2.32
Hardware,2021,1/3/21,1.55
Hardware,2021,2/17/21,1
Hardware,2021,5/1/21,1.24
Hardware,2021,6/14/21,1.5
Hardware,2021,7/13/21,3.5
Hardware,2021,7/27/21,3.15
Hardware,2021,8/30/21,1
Hardware,2021,9/9/21,1
Hardware,2021,9/23/21,1.8
Hardware,2021,10/6/21,2.5
Hardware,2021,10/11/21,2.1500000000000004
Hardware,2021,11/11/21,1.02
Hardware,2021,12/16/21,4.73
Hardware,2022,1/17/22,2
Hardware,2022,2/4/22,1.26
Hardware,2022,2/18/22,1.57
Hardware,2022,3/15/22,1.26
Hardware,2022,3/16/22,2.5
Hardware,2022,6/6/22,1
Hardware,2022,6/23/22,1.34
Health,2014,1/4/14,3.8
Health,2015,8/20/15,1.8
Health,2015,9/22/15,7
Health,2016,1/28/16,1
Health,2017,4/12/17,1.3
Health,2017,6/24/17,3.52
Health,2017,9/15/17,5
Health,2017,10/5/17,1
Health,2018,2/26/18,4
Health,2018,3/21/18,8.1
Health,2018,5/7/18,1
Health,2018,6/8/18,12
Health,2018,7/31/18,3.92
Health,2018,10/4/18,1
Health,2018,10/16/18,12.6
Health,2019,3/19/19,6.4
Health,2019,5/31/19,1.04
Health,2019,9/17/19,3
Health,2020,1/12/20,4
Health,2020,1/30/20,1
Health,2020,2/12/20,2
Health,2020,3/12/20,1.3
Health,2020,5/22/20,3.3
Health,2020,6/3/20,1.3
Health,2020,6/17/20,1
Health,2020,7/27/20,7
Health,2020,8/25/20,5.85
Health,2020,8/26/20,2.62
Health,2020,9/30/20,1.31
Health,2020,10/12/20,5.7
Health,2021,1/3/21,1.24
Health,2021,1/19/21,3.4
Health,2021,2/6/21,1
Health,2021,2/19/21,3.2
Health,2021,3/3/21,1.7
Health,2021,3/16/21,1.6
Health,2021,3/22/21,1
Health,2021,3/30/21,1.1
Health,2021,4/1/21,4.6
Health,2021,4/11/21,1.4
Health,2021,4/14/21,1
Health,2021,4/27/21,2
Health,2021,4/28/21,1
Health,2021,5/24/21,3.7
Health,2021,6/1/21,6.2
Health,2021,6/5/21,1.43
Health,2021,6/10/21,1.15
Health,2021,6/15/21,1.35
Health,2021,7/6/21,1
Health,2021,7/12/21,3.0999999999999996
Health,2021,7/13/21,1.2
Health,2021,7/21/21,3
Health,2021,7/28/21,1.42
Health,2021,8/17/21,1
Health,2021,9/9/21,1
Health,2021,9/16/21,2
Health,2021,9/30/21,1
Health,2021,10/6/21,4.8
Health,2021,10/8/21,4.8
Health,2021,10/11/21,1.5
Health,2021,10/21/21,1
Health,2021,10/26/21,3.89
Health,2021,10/27/21,1.6
Health,2021,11/1/21,1.23
Health,2021,11/2/21,1.17
Health,2021,11/18/21,1.36
Health,2021,11/22/21,2
Health,2021,11/29/21,3.7
Health,2021,12/5/21,7.83
Health,2021,12/7/21,1
Health,2021,12/14/21,1
Health,2022,1/3/22,1.12
Health,2022,1/19/22,1.01
Health,2022,1/25/22,1.32
Health,2022,1/31/22,1.5
Health,2022,2/15/22,1.22
Health,2022,2/23/22,3.5
Health,2022,4/19/22,1.69
Health,2022,4/21/22,1
Health,2022,4/26/22,1.3
Health,2022,5/4/22,3.9499999999999997
Health,2022,6/1/22,3.2
Health,2022,6/4/22,2.1
Health,2022,6/14/22,1.4
Health,2022,7/18/22,1.2
Health,2022,8/6/22,1
Health,2022,11/1/22,1.62
Internet software & services,2011,2/4/11,5.7
Internet software & services,2013,5/27/13,7.5
Internet software & services,2015,6/16/15,1.61
Internet software & services,2015,7/22/15,1.32
Internet software & services,2015,12/8/15,1
Internet software & services,2015,12/10/15,1
Internet software & services,2016,7/6/16,1
Internet software & services,2017,1/11/17,1.9
Internet software & services,2017,1/12/17,1.25
Internet software & services,2017,4/21/17,2
Internet software & services,2017,7/31/17,10
Internet software & services,2018,3/10/18,10
Internet software & services,2018,3/27/18,1.28
Internet software & services,2018,4/20/18,15
Internet software & services,2018,5/6/18,9.5
Internet software & services,2018,8/1/18,40
Internet software & services,2018,8/4/18,1.27
Internet software & services,2018,8/5/18,4.2
Internet software & services,2018,9/4/18,2
Internet software & services,2018,9/18/18,1.08
Internet software & services,2018,10/7/18,1
Internet software & services,2018,11/14/18,9.5
Internet software & services,2018,11/15/18,11.7
Internet software & services,2018,12/18/18,3
Internet software & services,2019,4/16/19,4.4
Internet software & services,2019,6/2/19,2
Internet software & services,2019,6/27/19,1.45
Internet software & services,2019,7/5/19,1
Internet software & services,2019,9/4/19,8
Internet software & services,2019,9/19/19,4.6
Internet software & services,2019,9/30/19,2.9
Internet software & services,2019,10/10/19,13
Internet software & services,2019,10/17/19,2.6
Internet software & services,2019,10/25/19,2
Internet software & services,2019,11/7/19,5.1
Internet software & services,2019,11/13/19,4.4
Internet software & services,2019,12/6/19,2.2
Internet software & services,2020,1/4/20,10
Internet software & services,2020,1/28/20,1.43
Internet software & services,2020,2/9/20,4
Internet software & services,2020,4/8/20,11.25
Internet software & services,2020,4/30/20,10
Internet software & services,2020,5/19/20,2
Internet software & services,2020,6/10/20,2.2
Internet software & services,2020,6/23/20,1.2
Internet software & services,2020,7/4/20,3
Internet software & services,2020,10/3/20,2
Internet software & services,2020,10/11/20,7.75
Internet software & services,2020,10/21/20,3.5
Internet software & services,2020,10/27/20,2.1
Internet software & services,2020,11/6/20,5.6
Internet software & services,2020,11/16/20,1.5
Internet software & services,2020,11/17/20,9.2
Internet software & services,2020,12/15/20,5.5
Internet software & services,2020,12/22/20,5
Internet software & services,2020,12/31/20,1.4
Internet software & services,2021,1/6/21,1
Internet software & services,2021,1/12/21,2.35
Internet software & services,2021,1/13/21,4
Internet software & services,2021,1/14/21,4
Internet software & services,2021,1/19/21,8.5
Internet software & services,2021,1/26/21,3
Internet software & services,2021,1/27/21,2
Internet software & services,2021,2/6/21,1.1
Internet software & services,2021,2/11/21,2
Internet software & services,2021,2/22/21,3.5
Internet software & services,2021,2/23/21,2.6
Internet software & services,2021,2/25/21,4.7
Internet software & services,2021,3/2/21,1.2
Internet software & services,2021,3/3/21,2.6
Internet software & services,2021,3/5/21,1.6
Internet software & services,2021,3/6/21,1.2
Internet software & services,2021,3/8/21,1.2
Internet software & services,2021,3/11/21,1
Internet software & services,2021,3/16/21,1
Internet software & services,2021,3/18/21,5
Internet software & services,2021,3/22/21,2.5
Internet software & services,2021,3/23/21,6.5
Internet software & services,2021,3/25/21,3
Internet software & services,2021,3/30/21,8.6
Internet software & services,2021,4/3/21,3.7
Internet software & services,2021,4/5/21,4.4
Internet software & services,2021,4/8/21,1.8
Internet software & services,2021,4/10/21,3
Internet software & services,2021,4/11/21,1.25
Internet software & services,2021,4/14/21,6.1
Internet software & services,2021,4/21/21,3
Internet software & services,2021,4/27/21,1.6
Internet software & services,2021,4/30/21,1
Internet software & services,2021,5/4/21,4.9
Internet software & services,2021,5/10/21,1.25
Internet software & services,2021,5/20/21,1.53
Internet software & services,2021,5/24/21,4
Internet software & services,2021,5/25/21,5.6
Internet software & services,2021,6/10/21,2.25
Internet software & services,2021,6/12/21,1
Internet software & services,2021,6/15/21,4.17
Internet software & services,2021,6/16/21,4
Internet software & services,2021,6/22/21,1.1
Internet software & services,2021,6/23/21,3.5
Internet software & services,2021,6/29/21,4
Internet software & services,2021,7/1/21,5
Internet software & services,2021,7/4/21,1.4
Internet software & services,2021,7/10/21,1
Internet software & services,2021,7/13/21,5.12
Internet software & services,2021,7/19/21,1
Internet software & services,2021,7/20/21,16.8
Internet software & services,2021,7/28/21,5.25
Internet software & services,2021,7/29/21,3.8
Internet software & services,2021,8/4/21,6.4
Internet software & services,2021,8/6/21,1
Internet software & services,2021,8/7/21,1.4
Internet software & services,2021,8/9/21,2
Internet software & services,2021,8/11/21,1
Internet software & services,2021,8/12/21,1
Internet software & services,2021,8/16/21,1.3
Internet software & services,2021,8/20/21,2.68
Internet software & services,2021,8/31/21,1.2
Internet software & services,2021,9/11/21,1
Internet software & services,2021,9/14/21,4.2
Internet software & services,2021,9/15/21,3.5500000000000003
Internet software & services,2021,9/16/21,3.5
Internet software & services,2021,9/21/21,5.3
Internet software & services,2021,9/22/21,1
Internet software & services,2021,9/28/21,1.2
Internet software & services,2021,9/29/21,1.5
Internet software & services,2021,9/30/21,1.5
Internet software & services,2021,10/8/21,3
Internet software & services,2021,10/11/21,1.5
Internet software & services,2021,10/13/21,13.1
Internet software & services,2021,10/18/21,4.3100000000000005
Internet software & services,2021,10/21/21,2.9
Internet software & services,2021,11/3/21,1.4
Internet software & services,2021,11/5/21,3.7
Internet software & services,2021,11/8/21,1.1
Internet software & services,2021,11/15/21,1.05
Internet software & services,2021,11/17/21,3
Internet software & services,2021,11/22/21,2
Internet software & services,2021,11/23/21,1
Internet software & services,2021,11/30/21,1
Internet software & services,2021,12/1/21,5.7
Internet software & services,2021,12/5/21,3.5
Internet software & services,2021,12/10/21,1.65
Internet software & services,2021,12/13/21,1
Internet software & services,2021,12/16/21,1.95
Internet software & services,2021,12/17/21,1.5
Internet software & services,2021,12/20/21,2.5
Internet software & services,2021,12/21/21,1.25
Internet software & services,2021,12/22/21,1.85
Internet software & services,2021,12/27/21,1.5
Internet software & services,2022,1/2/22,1.3
Internet software & services,2022,1/13/22,1.25
Internet software & services,2022,1/18/22,3.2
Internet software & services,2022,1/20/22,3.66
Internet software & services,2022,1/24/22,4.2
Internet software & services,2022,1/25/22,1
Internet software & services,2022,1/26/22,1
Internet software & services,2022,1/27/22,1.3
Internet software & services,2022,2/2/22,1.7
Internet software & services,2022,2/15/22,3
Internet software & services,2022,2/16/22,1.5
Internet software & services,2022,2/22/22,3.2
Internet software & services,2022,2/24/22,1
Internet software & services,2022,2/28/22,1.22
Internet software & services,2022,3/3/22,1.94
Internet software & services,2022,3/15/22,2.1
Internet software & services,2022,3/16/22,2.3
Internet software & services,2022,3/17/22,1.65
Internet software & services,2022,3/22/22,4
Internet software & services,2022,3/23/22,2.3
Internet software & services,2022,3/30/22,3.5
Internet software & services,2022,4/13/22,2
Internet software & services,2022,4/21/22,1.75
Internet software & services,2022,4/26/22,4.7
Internet software & services,2022,4/28/22,1.36
Internet software & services,2022,5/1/22,17.5
Internet software & services,2022,5/18/22,1
Internet software & services,2022,6/16/22,1.25
Internet software & services,2022,6/21/22,1
Internet software & services,2022,6/28/22,3.3
Internet software & services,2022,7/15/22,1.5
Internet software & services,2022,7/27/22,1
Internet software & services,2022,8/2/22,1
Internet software & services,2022,10/5/22,1
Internet software & services,2022,11/1/22,1.4
Internet software & services,2022,11/4/22,1.7
Internet software & services,2022,12/1/22,1.2
Internet software & services,2022,12/4/22,1
Mobile & telecommunications,2014,2/12/14,1
Mobile & telecommunications,2014,3/20/14,1.1
Mobile & telecommunications,2014,11/11/14,4
Mobile & telecommunications,2015,1/1/15,1
Mobile & telecommunications,2015,1/16/15,1.73
Mobile & telecommunications,2015,2/7/15,1
Mobile & telecommunications,2015,11/24/15,3
Mobile & telecommunications,2016,6/22/16,2.8
Mobile & telecommunications,2017,7/8/17,1
Mobile & telecommunications,2017,9/22/17,1.52
Mobile & telecommunications,2017,10/17/17,1.4
Mobile & telecommunications,2017,11/15/17,1
Mobile & telecommunications,2017,11/24/17,9
Mobile & telecommunications,2018,5/21/18,1
Mobile & telecommunications,2018,7/18/18,1
Mobile & telecommunications,2018,10/9/18,4
Mobile & telecommunications,2018,12/7/18,1
Mobile & telecommunications,2019,4/29/19,1
Mobile & telecommunications,2019,5/8/19,2
Mobile & telecommunications,2019,8/10/19,2.19
Mobile & telecommunications,2019,10/29/19,3.3
Mobile & telecommunications,2020,1/21/20,2
Mobile & telecommunications,2020,1/26/20,5
Mobile & telecommunications,2020,5/26/20,3.5
Mobile & telecommunications,2020,7/30/20,1
Mobile & telecommunications,2020,8/10/20,3.8
Mobile & telecommunications,2020,9/23/20,5.99
Mobile & telecommunications,2020,11/17/20,1.22
Mobile & telecommunications,2021,1/24/21,4
Mobile & telecommunications,2021,4/14/21,1.4
Mobile & telecommunications,2021,6/1/21,1.3
Mobile & telecommunications,2021,6/4/21,1.05
Mobile & telecommunications,2021,6/30/21,2.75
Mobile & telecommunications,2021,8/26/21,1
Mobile & telecommunications,2022,2/14/22,1.4
Mobile & telecommunications,2022,3/23/22,1
Mobile & telecommunications,2022,4/26/22,1.5
Mobile & telecommunications,2022,7/6/22,1.93
Other,2012,1/12/12,127
Other,2015,7/1/15,1
Other,2015,7/13/15,1.15
Other,2016,8/15/16,1.1
Other,2016,11/5/16,3.24
Other,2017,8/23/17,2.5
Other,2017,8/25/17,1.07
Other,2017,10/23/17,1
Other,2017,11/5/17,1
Other,2018,2/22/18,2.2
Other,2018,10/22/18,1.32
Other,2018,10/26/18,31.5
Other,2019,1/7/19,9.28
Other,2019,2/14/19,1.28
Other,2019,2/21/19,1
Other,2019,4/3/19,2
Other,2019,4/16/19,3.3
Other,2019,5/12/19,3
Other,2019,5/16/19,1
Other,2019,11/19/19,1.3
Other,2019,12/6/19,9.08
Other,2020,3/8/20,4
Other,2020,4/28/20,1
Other,2020,5/26/20,2
Other,2020,8/17/20,2.31
Other,2020,9/21/20,1
Other,2020,9/29/20,5
Other,2020,11/2/20,2.3
Other,2020,11/23/20,4.2
Other,2020,12/16/20,1
Other,2020,12/24/20,1.3
Other,2021,2/16/21,1
Other,2021,2/18/21,3
Other,2021,3/3/21,1.5
Other,2021,3/25/21,2.4
Other,2021,3/26/21,1.4
Other,2021,3/29/21,1.8
Other,2021,4/5/21,1.1
Other,2021,4/17/21,1.55
Other,2021,4/27/21,1.3
Other,2021,5/11/21,3.5
Other,2021,5/20/21,6.1
Other,2021,5/24/21,1
Other,2021,5/25/21,2.3
Other,2021,7/28/21,3.7
Other,2021,8/9/21,2.45
Other,2021,9/23/21,1.5
Other,2021,10/9/21,1.5
Other,2021,11/16/21,1
Other,2021,12/5/21,1.2
Other,2021,12/16/21,1
Other,2022,2/14/22,1.35
Other,2022,3/5/22,1
Other,2022,3/31/22,1.1
Other,2022,4/1/22,1.5
Other,2022,4/13/22,1.51
Other,2022,4/19/22,2.4
Other,2022,4/20/22,5.7
Other,2022,4/21/22,1
Other,2022,4/29/22,1.16
Other,2022,9/3/22,2.5
Other,2022,9/6/22,1.1
Other,2022,10/5/22,1.48
Other,2022,12/1/22,2.19
"Supply chain, logistics, & delivery",2014,12/30/14,39
"Supply chain, logistics, & delivery",2016,9/11/16,1.2
"Supply chain, logistics, & delivery",2017,9/21/17,1
"Supply chain, logistics, & delivery",2018,1/23/18,1.4
"Supply chain, logistics, & delivery",2018,4/9/18,3.1
"Supply chain, logistics, & delivery",2018,4/30/18,8
"Supply chain, logistics, & delivery",2018,6/21/18,10.7
"Supply chain, logistics, & delivery",2018,8/27/18,1
"Supply chain, logistics, & delivery",2018,8/31/18,5.25
"Supply chain, logistics, & delivery",2018,9/21/18,3.8
"Supply chain, logistics, & delivery",2018,10/12/18,1
"Supply chain, logistics, & delivery",2018,11/13/18,1
"Supply chain, logistics, & delivery",2018,11/26/18,1.45
"Supply chain, logistics, & delivery",2019,1/14/19,1.17
"Supply chain, logistics, & delivery",2019,2/4/19,1.6
"Supply chain, logistics, & delivery",2019,2/21/19,10
"Supply chain, logistics, & delivery",2019,4/23/19,2.85
"Supply chain, logistics, & delivery",2019,5/6/19,2
"Supply chain, logistics, & delivery",2019,5/20/19,2.8
"Supply chain, logistics, & delivery",2019,11/7/19,1.07
"Supply chain, logistics, & delivery",2020,3/11/20,1.7
"Supply chain, logistics, & delivery",2020,8/10/20,15
"Supply chain, logistics, & delivery",2020,12/17/20,2
"Supply chain, logistics, & delivery",2021,1/2/21,1
"Supply chain, logistics, & delivery",2021,1/6/21,2.62
"Supply chain, logistics, & delivery",2021,1/7/21,2.75
"Supply chain, logistics, & delivery",2021,1/14/21,1.1
"Supply chain, logistics, & delivery",2021,1/25/21,2.16
"Supply chain, logistics, & delivery",2021,2/6/21,1
"Supply chain, logistics, & delivery",2021,2/12/21,1.2
"Supply chain, logistics, & delivery",2021,2/25/21,1
"Supply chain, logistics, & delivery",2021,3/16/21,4.1
"Supply chain, logistics, & delivery",2021,3/25/21,3.1
"Supply chain, logistics, & delivery",2021,3/26/21,11.8
"Supply chain, logistics, & delivery",2021,4/21/21,2
"Supply chain, logistics, & delivery",2021,6/16/21,1
"Supply chain, logistics, & delivery",2021,6/21/21,2.1
"Supply chain, logistics, & delivery",2021,6/29/21,2.5
"Supply chain, logistics, & delivery",2021,7/4/21,20
"Supply chain, logistics, & delivery",2021,7/22/21,2
"Supply chain, logistics, & delivery",2021,9/7/21,3.3
"Supply chain, logistics, & delivery",2021,9/13/21,1.3
"Supply chain, logistics, & delivery",2021,9/15/21,1
"Supply chain, logistics, & delivery",2021,9/27/21,1
"Supply chain, logistics, & delivery",2021,10/20/21,1.3
"Supply chain, logistics, & delivery",2021,10/21/21,1
"Supply chain, logistics, & delivery",2021,10/26/21,1
"Supply chain, logistics, & delivery",2021,12/21/21,1.5
"Supply chain, logistics, & delivery",2022,1/2/22,1.3
"Supply chain, logistics, & delivery",2022,1/21/22,1.25
"Supply chain, logistics, & delivery",2022,2/15/22,2.2
"Supply chain, logistics, & delivery",2022,2/17/22,5.7
"Supply chain, logistics, & delivery",2022,4/21/22,1
"Supply chain, logistics, & delivery",2022,5/7/22,1
"Supply chain, logistics, & delivery",2022,5/16/22,1.3
"Supply chain, logistics, & delivery",2022,5/24/22,1.1
"Supply chain, logistics, & delivery",2022,6/1/22,1
"Supply chain, logistics, & delivery",2022,6/14/22,1
"Supply chain, logistics, & delivery",2022,6/21/22,1
"Supply chain, logistics, & delivery",2022,7/2/22,1.5
"Supply chain, logistics, & delivery",2022,9/2/22,2.2
Travel,2015,6/17/15,1.5
Travel,2017,1/1/17,3
Travel,2017,1/11/17,1.5
Travel,2018,7/8/18,1.35
Travel,2018,8/11/18,7.25
Travel,2018,9/25/18,9
Travel,2018,10/23/18,1
Travel,2019,5/16/19,1.1
Travel,2019,5/23/19,2
Travel,2019,10/6/19,1
Travel,2021,3/24/21,5
Travel,2021,10/25/21,2
Travel,2021,12/21/21,1
Travel,2022,12/1/22,1.3